geoid,neighbor
06075015500,06075015900
06075025502,06075026002
06075012405,06075016000
06075010101,06075010102
06075012405,06075017700
06075012405,06075017603
06075015801,06075015900
06075030302,06075030400
06075030900,06075031301
06075012002,06075012203
06075020801,06075022801
06075010901,06075011002
06075010402,06075010500
06075020402,06075020500
06075017700,06075022801
06075031201,06075031301
06075012301,06075012503
06075020201,06075020300
06075012602,06075012901
06075013002,06075013102
06075011700,06075012100
06075021600,06075021700
06075015900,06075016102
06075023003,06075061200
06075042601,06075042700
06075020102,06075022801
06075026001,06075026100
06075020601,06075020702
06075030900,06075033203
06075030400,06075030600
06075032700,06075032802
06075012202,06075012403
06075017102,06075030101
06075010102,06075010300
06075016101,06075016102
06075047802,06075047902
06075012700,06075012802
06075026201,06075026303
06075026100,06075031100
06075021500,06075021600
06075021700,06075030700
06075032601,06075980300
06075033204,06075060400
06075012403,06075012406
06075022702,06075060702
06075012001,06075012002
06075010201,06075010902
06075030201,06075030202
06075040200,06075042800
06075022903,06075061401
06075023200,06075023300
06075061504,06075061508
06075016400,06075980300
06075016900,06075020300
06075026100,06075031401
06075035102,06075035400
06075021300,06075021400
06075011102,06075015100
06075026004,06075026302
06075045100,06075045202
06075042700,06075047801
06075030201,06075980300
06075015202,06075015500
06075026401,06075026403
06075013401,06075015202
06075023102,06075023200
06075017801,06075061501
06075023300,06075061000
06075012404,06075012502
06075017700,06075018000
06075030900,06075031201
06075026201,06075031302
06075013402,06075015300
06075021700,06075030600
06075011101,06075011901
06075025502,06075025600
06075047904,06075980300
06075012601,06075012902
06075015401,06075015402
06075012002,06075012202
06075025403,06075025600
06075030301,06075032802
06075022803,06075022901
06075040200,06075045201
06075030900,06075031302
06075021000,06075021100
06075017700,06075022802
06075032700,06075032902
06075015401,06075040100
06075012802,06075013002
06075061504,06075061506
06075010402,06075010600
06075011101,06075011102
06075032902,06075035300
06075015701,06075015702
06075033001,06075035300
06075017000,06075020500
06075020500,06075020602
06075021000,06075021500
06075026201,06075031401
06075030400,06075030500
06075032802,06075032901
06075022801,06075022803
06075030202,06075030301
06075020500,06075021200
06075011700,06075061101
06075011102,06075011200
06075012405,06075016200
06075011700,06075012302
06075011901,06075012001
06075022901,06075022902
06075013001,06075013101
06075015600,06075980300
06075020300,06075020702
06075010300,06075010702
06075017801,06075018000
06075042700,06075042800
06075012405,06075012406
06075047802,06075047903
06075032801,06075032901
06075015300,06075015402
06075016602,06075017101
06075032602,06075032700
06075012602,06075012700
06075031100,06075031201
06075047600,06075980300
06075015802,06075016500
06075022902,06075025100
06075017700,06075060702
06075025100,06075980900
06075022600,06075060702
06075031301,06075033203
06075012801,06075060100
06075020602,06075020701
06075020300,06075020500
06075010600,06075010701
06075030700,06075031100
06075061501,06075061503
06075025800,06075026402
06075016000,06075016102
06075026301,06075026302
06075011700,06075061507
06075025600,06075025900
06075025402,06075025701
06075023001,06075980900
06075016700,06075980300
06075010800,06075011001
06075025501,06075025502
06075030301,06075032601
06075035101,06075980300
06075022903,06075980900
06075021700,06075030500
06075026001,06075026002
06075017603,06075017804
06075060502,06075980501
06075030800,06075032801
06075016601,06075017102
06075026003,06075026004
06075021800,06075025502
06075011700,06075012503
06075025501,06075031100
06075033201,06075033204
06075020201,06075020702
06075017804,06075018000
06075013401,06075015300
06075061506,06075061508
06075015600,06075016500
06075010500,06075011700
06075025702,06075025800
06075040100,06075045202
06075030900,06075033201
06075033203,06075060400
06075032901,06075035300
06075012902,06075013002
06075021800,06075031100
06075040100,06075045100
06075012204,06075012301
06075025800,06075061000
06075011101,06075013101
06075015900,06075016000
06075010701,06075011300
06075030400,06075033002
06075012203,06075012403
06075018000,06075060702
06075015701,06075980300
06075026003,06075980501
06075061401,06075980900
06075026401,06075026404
06075023001,06075061200
06075016500,06075980300
06075035101,06075035202
06075042602,06075047600
06075015401,06075015500
06075020500,06075021100
06075016601,06075016602
06075012100,06075012302
06075010201,06075013001
06075030102,06075030400
06075015401,06075015702
06075010201,06075010901
06075023102,06075023103
06075035400,06075060400
06075030201,06075030301
06075030301,06075030400
06075026202,06075031401
06075047902,06075047903
06075016900,06075017000
06075016102,06075016300
06075011102,06075011901
06075016801,06075020202
06075012203,06075012404
06075020402,06075021300
06075013500,06075015202
06075020701,06075020802
06075012503,06075017602
06075011001,06075011200
06075023103,06075980600
06075030201,06075032601
06075045201,06075047600
06075061503,06075061506
06075013200,06075013401
06075012404,06075012405
06075010202,06075012901
06075023103,06075023200
06075021500,06075021800
06075022902,06075025200
06075017803,06075017804
06075013200,06075013500
06075016700,06075017000
06075012204,06075012502
06075060701,06075060702
06075012504,06075017604
06075061401,06075061402
06075013300,06075060100
06075021800,06075025403
06075021600,06075021800
06075025900,06075980501
06075061501,06075061507
06075031202,06075031402
06075032801,06075033002
06075016802,06075017700
06075032700,06075035102
06075020900,06075022901
06075030500,06075030600
06075023200,06075061200
06075012100,06075012204
06075032901,06075032902
06075010800,06075011200
06075012503,06075012504
06075021100,06075021400
06075021200,06075021400
06075032801,06075033001
06075023200,06075023400
06075030600,06075030700
06075040200,06075045100
06075025501,06075026001
06075025100,06075061401
06075013001,06075013200
06075026403,06075061000
06075017602,06075017804
06075015801,06075016101
06075010600,06075010702
06075015900,06075016101
06075020801,06075022803
06075032602,06075980300
06075020601,06075020701
06075031302,06075031401
06075012406,06075016000
06075021200,06075021300
06075021100,06075021300
06075012002,06075012100
06075023300,06075023400
06075012801,06075013200
06075016601,06075016700
06075023200,06075061000
06075016400,06075016801
06075030900,06075033204
06075010500,06075061101
06075017700,06075017803
06075023300,06075025800
06075013200,06075013402
06075020300,06075020601
06075042700,06075047701
06075013102,06075015100
06075011700,06075012301
06075016602,06075980300
06075015100,06075015201
06075017700,06075020102
06075020102,06075020201
06075013001,06075013102
06075022802,06075022903
06075031401,06075031402
06075015201,06075015202
06075035102,06075035202
06075017603,06075017604
06075026402,06075980501
06075016802,06075020202
06075015802,06075016400
06075020801,06075020900
06075023102,06075980900
06075012700,06075060100
06075040200,06075060100
06075020101,06075020201
06075010600,06075061101
06075022903,06075025100
06075030800,06075031000
06075012601,06075012700
06075015600,06075015701
06075022702,06075061402
06075020401,06075020500
06075047904,06075980200
06075022704,06075022802
06075020102,06075020702
06075020101,06075020102
06075010902,06075013101
06075025501,06075026100
06075035201,06075980300
06075013500,06075015300
06075021000,06075021400
06075010102,06075010401
06075021500,06075025300
06075015802,06075016300
06075033100,06075033201
06075010500,06075061507
06075030400,06075030800
06075017102,06075980300
06075012601,06075012602
06075035102,06075035300
06075025701,06075980900
06075023300,06075025702
06075022902,06075022903
06075020201,06075020601
06075030800,06075033100
06075042601,06075047701
06075020402,06075030500
06075010202,06075010300
06075015402,06075040100
06075016400,06075016500
06075030900,06075031000
06075017000,06075017101
06075025600,06075025701
06075030101,06075030202
06075061402,06075980900
06075015702,06075015802
06075011700,06075017602
06075012700,06075012801
06075032902,06075035102
06075015201,06075015500
06075023102,06075061200
06075025402,06075025403
06075012901,06075012902
06075015202,06075015300
06075020900,06075022803
06075032801,06075032802
06075022600,06075980900
06075030302,06075032602
06075018000,06075061502
06075017101,06075017102
06075035201,06075035400
06075022704,06075060702
06075030101,06075980300
06075030301,06075030302
06075011200,06075011300
06075031000,06075031100
06075030900,06075033100
06075012203,06075012204
06075042601,06075042602
06075010201,06075012902
06075042700,06075980200
06075011200,06075011901
06075013300,06075013402
06075010800,06075011300
06075025600,06075980501
06075016601,06075017101
06075026302,06075980501
06075045100,06075980300
06075030600,06075030800
06075015702,06075016500
06075032602,06075032802
06075017801,06075017804
06075030700,06075031000
06075016700,06075016801
06075010101,06075010401
06075010701,06075010800
06075020500,06075020601
06075026004,06075026301
06075012002,06075012302
06075012404,06075012503
06075047702,06075980300
06075012204,06075012403
06075012001,06075012100
06075031100,06075031202
06075020401,06075020402
06075020401,06075030102
06075026403,06075026404
06075033001,06075033100
06075011800,06075011902
06075020402,06075021200
06075025401,06075025403
06075025100,06075025200
06075013102,06075015202
06075013001,06075013002
06075035201,06075035300
06075030302,06075032802
06075017700,06075020101
06075011002,06075013101
06075045201,06075045202
06075012405,06075020101
06075013200,06075060100
06075026404,06075060502
06075060701,06075061502
06075011700,06075061501
06075016000,06075016200
06075010401,06075010402
06075010701,06075061102
06075015801,06075015802
06075012601,06075012802
06075025900,06075026402
06075030102,06075030500
06075033201,06075060400
06075020201,06075020202
06075047802,06075047904
06075047701,06075047702
06075026302,06075026303
06075047801,06075047802
06075020601,06075020602
06075013102,06075013200
06075012204,06075012404
06075021300,06075021600
06075023400,06075061000
06075031302,06075033203
06075016602,06075017102
06075011001,06075013101
06075031301,06075031402
06075061502,06075061508
06075061101,06075061102
06075011300,06075011800
06075042601,06075047600
06075035101,06075035201
06075011800,06075061102
06075026302,06075060502
06075042602,06075042800
06075012002,06075012204
06075018000,06075061503
06075012301,06075012502
06075032700,06075035101
06075011700,06075011800
06075017101,06075020401
06075025403,06075025502
06075026002,06075980501
06075047802,06075980200
06075021000,06075025300
06075011102,06075012100
06075021400,06075021600
06075023103,06075980900
06075016900,06075020500
06075061505,06075061506
06075022702,06075022704
06075010800,06075010901
06075010702,06075010800
06075016801,06075016900
06075015701,06075016500
06075022901,06075025200
06075010201,06075012901
06075060701,06075061508
06075035101,06075035102
06075047701,06075047801
06075030800,06075033002
06075045201,06075980300
06075047600,06075047702
06075025200,06075025300
06075042700,06075047802
06075040200,06075042602
06075023001,06075025702
06075010701,06075010702
06075011300,06075011700
06075023003,06075023200
06075026001,06075026004
06075015401,06075015701
06075017803,06075018000
06075016700,06075017101
06075035300,06075060400
06075020801,06075020802
06075017700,06075020802
06075035300,06075035400
06075040200,06075045202
06075020801,06075021000
06075025800,06075025900
06075012502,06075012503
06075030900,06075033002
06075030101,06075030301
06075021800,06075025300
06075047902,06075047904
06075012204,06075012302
06075017102,06075030102
06075026100,06075031202
06075026100,06075026301
06075025702,06075025900
06075016200,06075016300
06075025600,06075026002
06075010701,06075061101
06075012202,06075012203
06075012405,06075012503
06075012403,06075012405
06075011102,06075012001
06075047600,06075047701
06075013401,06075013500
06075020602,06075021200
06075020701,06075021100
06075015100,06075015900
06075030800,06075030900
06075010300,06075010800
06075020402,06075021700
06075010401,06075010702
06075016601,06075980300
06075060703,06075061502
06075033001,06075033002
06075061506,06075061507
06075013300,06075015402
06075035102,06075035201
06075030101,06075030102
06075020701,06075020900
06075023001,06075025100
06075012405,06075016802
06075020701,06075020702
06075015702,06075016400
06075011800,06075061101
06075011902,06075012100
06075013300,06075040100
06075047902,06075980200
06075012202,06075012406
06075011200,06075011902
06075012403,06075012404
06075026401,06075026402
06075010902,06075013001
06075016400,06075016700
06075047702,06075047801
06075017700,06075022704
06075040200,06075047600
06075061503,06075061507
06075016400,06075016601
06075010101,06075010402
06075031202,06075031401
06075011001,06075011101
06075061505,06075061507
06075030301,06075032602
06075020802,06075022801
06075023003,06075023300
06075017602,06075017801
06075011901,06075012100
06075010901,06075010902
06075031201,06075031402
06075015600,06075045100
06075010101,06075010500
06075061200,06075980900
06075020402,06075021600
06075020102,06075020202
06075025502,06075026001
06075020900,06075021000
06075031201,06075031202
06075010300,06075010401
06075031000,06075031201
06075017603,06075017700
06075021700,06075031100
06075010201,06075010202
06075010201,06075010300
06075026004,06075026100
06075025403,06075025701
06075035202,06075980300
06075013401,06075013402
06075020101,06075020202
06075047801,06075980300
06075021700,06075021800
06075010902,06075011002
06075017801,06075061502
06075022802,06075061401
06075015100,06075015500
06075015401,06075015801
06075011101,06075013102
06075018000,06075060703
06075020201,06075020802
06075016200,06075016802
06075035201,06075035202
06075030700,06075030900
06075026002,06075026003
06075010202,06075012602
06075015401,06075015600
06075010101,06075010202
06075010101,06075010300
06075016300,06075016400
06075012404,06075012504
06075032901,06075033002
06075030400,06075032801
06075032601,06075032602
06075016102,06075016200
06075022803,06075022903
06075022802,06075022803
06075013102,06075013500
06075012801,06075012802
06075015702,06075015801
06075021400,06075021500
06075013101,06075013102
06075020602,06075021100
06075032901,06075033001
06075026401,06075980501
06075016300,06075016801
06075012301,06075012404
06075032802,06075032902
06075022704,06075061402
06075012002,06075015100
06075017603,06075017803
06075045202,06075980300
06075025401,06075025402
06075016101,06075016400
06075025501,06075031202
06075026100,06075026202
06075012202,06075015100
06075017101,06075030102
06075013200,06075013300
06075042800,06075980200
06075012902,06075013001
06075022600,06075061402
06075020401,06075030500
06075030102,06075030301
06075061503,06075061504
06075060702,06075060703
06075025300,06075025401
06075060701,06075060703
06075012602,06075012902
06075017602,06075017604
06075042800,06075060100
06075016101,06075016300
06075020702,06075020801
06075016802,06075020101
06075016300,06075016700
06075033002,06075033100
06075020701,06075020801
06075026202,06075026303
06075025100,06075025402
06075013102,06075015201
06075061502,06075061504
06075015600,06075040100
06075026001,06075026003
06075012202,06075016000
06075022801,06075022802
06075010300,06075010901
06075025701,06075025702
06075013402,06075015402
06075026202,06075026301
06075033203,06075033204
06075022803,06075022902
06075011101,06075015100
06075025200,06075025401
06075026003,06075026302
06075017000,06075020300
06075032602,06075032902
06075042601,06075042800
06075032700,06075980300
06075017801,06075061503
06075026201,06075026202
06075015300,06075015401
06075020900,06075025200
06075015500,06075015801
06075017602,06075017603
06075021100,06075021200
06075011300,06075011902
06075026401,06075060502
06075030700,06075030800
06075022600,06075060701
06075061502,06075061503
06075033100,06075060400
06075026301,06075026303
06075011001,06075011002
06075021800,06075025401
06075016900,06075020202
06075025200,06075025402
06075010500,06075010600
06075047903,06075047904
06075015100,06075016000
06075040100,06075040200
06075025502,06075031100
06075012203,06075012406
06075011700,06075011902
06075031302,06075060400
06075015802,06075016101
06075030202,06075980300
06075016300,06075016802
06075022704,06075061401
06075016801,06075016802
06075012301,06075012302
06075017602,06075061501
06075010902,06075012902
06075031301,06075031302
06075012405,06075017604
06075042602,06075045201
06075012802,06075013200
06075011101,06075011200
06075012802,06075012902
06075040100,06075060100
06075023200,06075980600
06075030302,06075032801
06075023001,06075023003
06075031302,06075031402
06075022600,06075022702
06075013500,06075015201
06075012601,06075012801
06075011102,06075013102
06075026402,06075026403
06075020900,06075025300
06075020702,06075020802
06075025100,06075025701
06075020202,06075020300
06075012001,06075015100
06075025701,06075025900
06075010800,06075011002
06075023001,06075023300
06075033100,06075035300
06075026402,06075061000
06075011300,06075061102
06075013002,06075013200
06075020701,06075021000
06075047802,06075980300
06075011901,06075011902
06075016700,06075016900
06075017000,06075020401
06075012503,06075017604
06075015401,06075045100
06075018000,06075060701
06075023001,06075025701
06075010401,06075010600
06075012405,06075012504
06075020102,06075020802
06075021500,06075021700
